error,units,activation,layers,time,train,test
0,1,relu,0,47.526090145111084,152641.31414473685,71144.71875
0,100,relu,1,52.005728006362915,3.6017712291918302,4.449926853179932
0,1,relu,1,49.7954421043396,152968.78125,71495.9296875
0,100,relu,0,47.50097584724426,356.485496119449,290.0077819824219
0,10,relu,1,50.059951066970825,5.753462791442871,39.61997604370117
0,10,relu,0,46.937618017196655,214.96217587119654,232.40805053710938
25,1,relu,0,48.675137996673584,150828.83059210525,72793.046875
25,100,relu,1,53.209314823150635,408.0694885253906,4697.49658203125
25,1,relu,1,50.23919486999512,2008.6650904605262,2205.38134765625
25,100,relu,0,48.60825800895691,851.124755859375,1705.8255615234375
25,10,relu,1,49.882014989852905,587.6633381090666,1386.640380859375
25,10,relu,0,48.084924936294556,985.2318348131681,2172.81396484375
50,1,relu,0,47.67555093765259,3715.8606567382812,5354.1884765625
50,100,relu,1,53.25341200828552,1266.1235287314967,3228.312255859375
50,1,relu,1,51.819231033325195,160165.34703947368,71529.8046875
50,100,relu,0,51.139556884765625,2157.3522692228617,5183.7607421875
50,10,relu,1,53.92294907569885,1960.911711040296,3580.68701171875
50,10,relu,0,49.68118500709534,3393.4503880550988,5814.1083984375
